sim_number,tick,sim_time_s,timestamp_utc,total_active_isls,links_up,links_down,sum_configured_delay_ms,Sat1_alt,Sat1_x,Sat1_y,Sat1_speed,Sat1_degree,Sat2_alt,Sat2_x,Sat2_y,Sat2_speed,Sat2_degree,Sat3_alt,Sat3_x,Sat3_y,Sat3_speed,Sat3_degree,Sat4_alt,Sat4_x,Sat4_y,Sat4_speed,Sat4_degree,Sat5_alt,Sat5_x,Sat5_y,Sat5_speed,Sat5_degree,Sat6_alt,Sat6_x,Sat6_y,Sat6_speed,Sat6_degree,link_Sat4-Sat2_delay_ms,link_Sat4-Sat2_status,link_Sat4-Sat2_ospf_cost,link_Sat2-Sat1_delay_ms,link_Sat2-Sat1_status,link_Sat2-Sat1_ospf_cost,link_Sat1-Sat3_delay_ms,link_Sat1-Sat3_status,link_Sat1-Sat3_ospf_cost,link_Sat3-Sat6_delay_ms,link_Sat3-Sat6_status,link_Sat3-Sat6_ospf_cost,link_Sat4-Sat5_delay_ms,link_Sat4-Sat5_status,link_Sat4-Sat5_ospf_cost,link_Sat5-Sat6_delay_ms,link_Sat5-Sat6_status,link_Sat5-Sat6_ospf_cost,link_Sat2-Sat5_delay_ms,link_Sat2-Sat5_status,link_Sat2-Sat5_ospf_cost,link_Sat5-Sat3_delay_ms,link_Sat5-Sat3_status,link_Sat5-Sat3_ospf_cost,link_Sat2-Sat3_delay_ms,link_Sat2-Sat3_status,link_Sat2-Sat3_ospf_cost,link_Sat3-Sat5_delay_ms,link_Sat3-Sat5_status,link_Sat3-Sat5_ospf_cost,e2e_reachable,e2e_rtt_min_ms,e2e_rtt_avg_ms,e2e_rtt_max_ms,e2e_rtt_mdev_ms,e2e_packet_loss_pct,e2e_hop_count,e2e_path,pred_Sat1-Sat2_delay_ms,pred_Sat1-Sat3_delay_ms,pred_Sat2-Sat3_delay_ms,pred_Sat2-Sat4_delay_ms,pred_Sat2-Sat5_delay_ms,pred_Sat3-Sat5_delay_ms,pred_Sat3-Sat6_delay_ms,pred_Sat4-Sat5_delay_ms,pred_Sat5-Sat6_delay_ms,ai_path,ai_path_cost_ms,ospf_path,ospf_path_cost_ms
1,0,0.0,2026-03-15T19:27:33.057034Z,7,14,0,1659.0,15.0,324.0,324.0,25.0,1,10.0,246.5,246.5,50.0,3,10.0,77.5,77.5,50.0,2,5.0,194.0,194.0,100.0,3,5.0,172.666667,130.0,100.0,4,5.0,130.0,236.666667,100.0,2,60.0,1,600,100.0,1,1000,,0,,65.3,1,653,211.0,1,2110,229.0,1,2290,62.1,1,621,62.1,1,621,,0,,62.1,1,621,1,3806.851,3806.851,3806.851,0.0,66.6667,8,10.0.4.2|10.4.2.2|10.4.5.2|10.5.3.2|10.6.3.1|10.0.6.1,,,,,,,,,,,,,
1,1,1.0,2026-03-15T19:27:43.721863Z,9,18,0,2684.9,15.0,324.0,299.0,25.0,2,10.0,246.5,196.5,50.0,4,10.0,77.5,296.5,50.0,4,5.0,158.0,130.0,100.0,3,5.0,130.0,251.333333,100.0,4,5.0,194.0,179.333333,100.0,3,62.9,1,629,103.0,1,1030,111.0,1,1110.0,355.0,1,3550,46.2,1,462,46.1,1,461,66.6,1,666,72.5,1,725,91.2,1,912.0,72.5,1,725,1,180.039,186.543,192.24,5.013,0.0,4,10.0.4.2|10.4.5.2|10.5.6.2|10.0.6.1,109.62,109.12,90.53,68.67,69.15,66.4,68.31,44.12,45.29,Sat4→Sat5→Sat6,92.3,Sat4→Sat5→Sat6,92.3
1,2,2.0,2026-03-15T19:27:48.872640Z,7,18,0,3413.4,15.0,324.0,274.0,25.0,1,10.0,246.5,146.5,50.0,3,10.0,77.5,324.0,50.0,2,5.0,202.0,258.0,100.0,3,5.0,194.0,164.666667,100.0,4,5.0,143.333333,130.0,100.0,3,65.7,1,657,106.0,1,1060,111.0,1,1110.0,362.0,1,3620,43.2,1,432,41.6,1,416,326.0,1,3260,72.4,1,724,91.2,1,912.0,72.4,1,724,1,345.442,351.799,355.208,4.499,0.0,7,10.0.4.2|10.4.5.2|10.5.6.2|10.0.6.1,109.86,109.47,91.06,69.12,68.16,68.49,68.15,47.96,46.64,Sat4→Sat5→Sat6,84.8,Sat4→Sat5→Sat6,84.8
1,3,3.0,2026-03-15T19:27:56.012292Z,7,18,0,3642.6,15.0,324.0,249.0,25.0,1,10.0,246.5,96.5,50.0,3,10.0,77.5,324.0,50.0,2,5.0,194.0,150.0,100.0,3,5.0,130.0,195.333333,100.0,4,5.0,216.666667,258.0,100.0,2,67.8,1,678,108.0,1,1080,111.0,1,1110.0,362.0,1,3620,220.0,1,2200,43.9,1,439,341.0,1,3410,72.8,1,728,91.2,1,912.0,72.8,1,728,1,526.666,544.525,569.134,17.982,0.0,6,10.0.4.2|10.4.5.2|10.5.6.2|10.0.6.1,110.16,108.49,90.21,68.06,67.7,68.11,68.11,47.02,46.0,Sat4→Sat5→Sat6,263.9,Sat4→Sat5→Sat6,263.9
1,4,4.0,2026-03-15T19:28:03.382277Z,8,18,0,1938.8,15.0,324.0,224.0,25.0,2,10.0,215.5,77.5,50.0,3,10.0,277.5,324.0,50.0,3,5.0,130.0,210.0,100.0,3,5.0,231.333333,258.0,100.0,4,5.0,194.0,135.333333,100.0,3,68.0,1,680,108.0,1,1080,105.0,1,1050.0,63.7,1,637,44.2,1,442,43.2,1,432,67.0,1,670,62.7,1,627,91.2,1,912.0,62.7,1,627,1,181.832,184.412,188.575,2.971,0.0,4,10.0.4.2|10.4.5.2|10.5.6.2|10.0.6.1,110.26,108.56,90.54,67.15,69.07,67.22,70.17,46.59,47.95,Sat4→Sat5→Sat6,87.4,Sat4→Sat5→Sat6,87.4
1,5,5.0,2026-03-15T19:28:08.546772Z,7,18,0,2606.0,15.0,324.0,199.0,25.0,2,10.0,165.5,77.5,50.0,3,10.0,324.0,324.0,50.0,2,5.0,246.0,258.0,100.0,2,5.0,184.666667,130.0,100.0,3,5.0,130.0,224.666667,100.0,2,322.0,1,3220,108.0,1,1080,106.0,1,1060.0,64.7,1,647,42.8,1,428,45.5,1,455,65.2,1,652,62.7,1,627,91.2,1,912.0,62.7,1,627,1,182.577,185.681,191.441,4.076,0.0,5,10.0.4.2|10.4.5.2|10.5.6.2|10.0.6.1,110.19,108.67,90.72,68.49,68.41,68.89,70.68,47.97,49.52,Sat4→Sat5→Sat6,88.3,Sat4→Sat5→Sat6,88.3
1,6,6.0,2026-03-15T19:28:15.532364Z,8,18,0,1931.4,15.0,324.0,174.0,25.0,2,10.0,115.5,77.5,50.0,3,10.0,324.0,324.0,50.0,3,5.0,170.0,130.0,100.0,3,5.0,130.0,239.333333,100.0,4,5.0,194.0,191.333333,100.0,3,62.8,1,628,108.0,1,1080,107.0,1,1070.0,60.1,1,601,45.8,1,458,45.5,1,455,65.8,1,658,65.5,1,655,91.2,1,912.0,65.5,1,655,1,186.993,189.715,192.887,2.427,0.0,4,10.0.4.2|10.4.5.2|10.5.6.2|10.0.6.1,109.91,109.58,91.92,69.22,63.95,70.09,70.03,50.11,47.75,Sat4→Sat5→Sat6,91.3,Sat4→Sat5→Sat6,91.3
1,7,7.0,2026-03-15T19:28:20.735916Z,8,18,0,2759.9,15.0,324.0,149.0,25.0,1,10.0,77.5,258.5,50.0,3,10.0,246.5,234.5,50.0,4,5.0,130.0,254.0,100.0,3,5.0,194.0,176.666667,100.0,4,5.0,155.333333,130.0,100.0,3,71.0,1,710,108.0,1,1080,544.0,1,5440.0,61.4,1,614,46.3,1,463,208.0,1,2080,69.1,1,691,61.1,1,611,89.1,1,891.0,305.0,1,3050,1,417.293,594.934,924.957,233.588,0.0,5,10.0.4.2|10.4.5.2|10.6.3.2|10.5.6.2|10.0.6.1,108.46,109.82,91.91,64.65,69.0,69.2,68.68,48.3,46.42,Sat4→Sat5→Sat6,254.3,Sat4→Sat5→Sat3→Sat6,168.8
1,8,8.0,2026-03-15T19:28:26.399506Z,7,18,0,2323.9,15.0,324.0,124.0,25.0,1,10.0,77.5,308.5,50.0,2,10.0,246.5,184.5,50.0,3,5.0,194.0,162.0,100.0,3,5.0,140.666667,130.0,100.0,4,5.0,204.666667,258.0,100.0,2,71.7,1,717,108.0,1,1080,110.0,1,1100.0,64.1,1,641,41.7,1,417,214.0,1,2140,71.6,1,716,63.1,1,631,89.1,1,891.0,63.1,1,631,1,257.998,267.9,276.506,7.611,0.0,7,10.0.4.2|10.4.5.2|10.5.3.2|10.5.6.2|10.0.6.1,109.21,109.94,90.32,67.89,69.19,66.84,68.09,46.59,45.76,Sat4→Sat5→Sat6,255.7,Sat4→Sat5→Sat3→Sat6,168.9
1,9,9.0,2026-03-15T19:28:33.456804Z,7,18,0,1960.6,15.0,324.0,99.0,25.0,1,10.0,77.5,324.0,50.0,2,10.0,246.5,134.5,50.0,3,5.0,130.0,198.0,100.0,3,5.0,219.333333,258.0,100.0,4,5.0,194.0,147.333333,100.0,3,72.8,1,728,108.0,1,1080,113.0,1,1130.0,66.1,1,661,43.9,1,439,43.0,1,430,72.5,1,725,65.9,1,659,89.1,1,891.0,65.9,1,659,1,443.811,448.347,455.752,5.28,0.0,4,10.0.4.2|10.5.2.1|10.5.6.2|10.0.6.1,109.01,109.65,90.26,67.03,67.71,69.39,68.15,46.02,49.46,Sat4→Sat5→Sat6,86.9,Sat4→Sat5→Sat6,86.9
