sim_number,time_s,tick,sat_name,orbit_altitude,orbit_speed,x,y,can_see
1,0.00,0,Sat1,5,100,250.000000,250.000000,Sat4
1,0.00,0,Sat2,5,100,216.666667,150.000000,Sat5
1,0.00,0,Sat3,5,100,150.000000,316.666667,
1,0.00,0,Sat4,10,50,312.500000,312.500000,"Sat1,Sat6"
1,0.00,0,Sat5,10,50,87.500000,87.500000,"Sat2,Host2"
1,0.00,0,Sat6,15,25,400.000000,400.000000,Sat4
1,10.00,1,Sat1,5,100,150.000000,150.000000,
1,10.00,1,Sat2,5,100,283.333333,350.000000,Sat5
1,10.00,1,Sat3,5,100,250.000000,183.333333,"Sat5,Sat6"
1,10.00,1,Sat4,10,50,87.500000,362.500000,
1,10.00,1,Sat5,10,50,312.500000,262.500000,"Sat2,Sat3,Sat6"
1,10.00,1,Sat6,15,25,400.000000,150.000000,"Sat3,Sat5"
1,20.00,2,Sat1,5,100,250.000000,250.000000,Sat4
1,20.00,2,Sat2,5,100,216.666667,150.000000,"Sat4,Sat6"
1,20.00,2,Sat3,5,100,150.000000,316.666667,Sat5
1,20.00,2,Sat4,10,50,312.500000,212.500000,"Sat1,Sat2,Sat6"
1,20.00,2,Sat5,10,50,87.500000,400.000000,Sat3
1,20.00,2,Sat6,15,25,300.000000,0.000000,"Sat2,Sat4"
1,30.00,3,Sat1,5,100,150.000000,150.000000,Sat6
1,30.00,3,Sat2,5,100,283.333333,350.000000,
1,30.00,3,Sat3,5,100,250.000000,183.333333,Sat5
1,30.00,3,Sat4,10,50,87.500000,400.000000,
1,30.00,3,Sat5,10,50,312.500000,162.500000,Sat3
1,30.00,3,Sat6,15,25,50.000000,0.000000,"Sat1,Host1,Host2"
1,40.00,4,Sat1,5,100,250.000000,250.000000,
1,40.00,4,Sat2,5,100,216.666667,150.000000,Sat4
1,40.00,4,Sat3,5,100,150.000000,316.666667,"Sat5,Sat6"
1,40.00,4,Sat4,10,50,312.500000,112.500000,Sat2
1,40.00,4,Sat5,10,50,87.500000,400.000000,"Sat3,Sat6"
1,40.00,4,Sat6,15,25,0.000000,400.000000,"Sat3,Sat5"
1,50.00,5,Sat1,5,100,150.000000,150.000000,
1,50.00,5,Sat2,5,100,283.333333,350.000000,"Sat4,Sat6"
1,50.00,5,Sat3,5,100,250.000000,183.333333,Sat5
1,50.00,5,Sat4,10,50,337.500000,400.000000,"Sat2,Sat6"
1,50.00,5,Sat5,10,50,287.500000,87.500000,Sat3
1,50.00,5,Sat6,15,25,400.000000,400.000000,"Sat2,Sat4"
2,0.00,0,Sat1,5,100,250.000000,250.000000,Sat4
2,0.00,0,Sat2,5,100,216.666667,150.000000,Sat5
2,0.00,0,Sat3,5,100,150.000000,316.666667,
2,0.00,0,Sat4,10,50,312.500000,312.500000,"Sat1,Sat6"
2,0.00,0,Sat5,10,50,87.500000,87.500000,"Sat2,Host1"
2,0.00,0,Sat6,15,25,400.000000,400.000000,Sat4
2,10.00,1,Sat1,5,100,150.000000,150.000000,
2,10.00,1,Sat2,5,100,283.333333,350.000000,Sat5
2,10.00,1,Sat3,5,100,250.000000,183.333333,"Sat5,Sat6"
2,10.00,1,Sat4,10,50,87.500000,362.500000,
2,10.00,1,Sat5,10,50,312.500000,262.500000,"Sat2,Sat3,Sat6"
2,10.00,1,Sat6,15,25,400.000000,150.000000,"Sat3,Sat5"
2,20.00,2,Sat1,5,100,250.000000,250.000000,Sat4
2,20.00,2,Sat2,5,100,216.666667,150.000000,"Sat4,Sat6"
2,20.00,2,Sat3,5,100,150.000000,316.666667,Sat5
2,20.00,2,Sat4,10,50,312.500000,212.500000,"Sat1,Sat2,Sat6"
2,20.00,2,Sat5,10,50,87.500000,400.000000,Sat3
2,20.00,2,Sat6,15,25,300.000000,0.000000,"Sat2,Sat4"
2,30.00,3,Sat1,5,100,150.000000,150.000000,Sat6
2,30.00,3,Sat2,5,100,283.333333,350.000000,
2,30.00,3,Sat3,5,100,250.000000,183.333333,Sat5
2,30.00,3,Sat4,10,50,87.500000,400.000000,
2,30.00,3,Sat5,10,50,312.500000,162.500000,Sat3
2,30.00,3,Sat6,15,25,50.000000,0.000000,"Sat1,Host1,Host2"
2,40.00,4,Sat1,5,100,250.000000,250.000000,
2,40.00,4,Sat2,5,100,216.666667,150.000000,Sat4
2,40.00,4,Sat3,5,100,150.000000,316.666667,"Sat5,Sat6"
2,40.00,4,Sat4,10,50,312.500000,112.500000,Sat2
2,40.00,4,Sat5,10,50,87.500000,400.000000,"Sat3,Sat6"
2,40.00,4,Sat6,15,25,0.000000,400.000000,"Sat3,Sat5"
2,50.00,5,Sat1,5,100,150.000000,150.000000,
2,50.00,5,Sat2,5,100,283.333333,350.000000,"Sat4,Sat6"
2,50.00,5,Sat3,5,100,250.000000,183.333333,Sat5
2,50.00,5,Sat4,10,50,337.500000,400.000000,"Sat2,Sat6"
2,50.00,5,Sat5,10,50,287.500000,87.500000,Sat3
2,50.00,5,Sat6,15,25,400.000000,400.000000,"Sat2,Sat4"
